Time,Year,Trip_Count
0,2017,9215
1,2017,4698
2,2017,2763
3,2017,1675
4,2017,1586
5,2017,5951
6,2017,21746
7,2017,43479
8,2017,74046
9,2017,59745
10,2017,40859
11,2017,41934
12,2017,44952
13,2017,46240
14,2017,49137
15,2017,52277
16,2017,63219
17,2017,91182
18,2017,86209
19,2017,62339
20,2017,43726
21,2017,29888
22,2017,22615
23,2017,14883
0,2018,8730
1,2018,4889
2,2018,2926
3,2018,1847
4,2018,1800
5,2018,5999
6,2018,20568
7,2018,38993
8,2018,71022
9,2018,59620
10,2018,40015
11,2018,39804
12,2018,46264
13,2018,49247
14,2018,48363
15,2018,51331
16,2018,66624
17,2018,102498
18,2018,98182
19,2018,66733
20,2018,45081
21,2018,31320
22,2018,23072
23,2018,15623
0,2019,8091
1,2019,4065
2,2019,2356
3,2019,1432
4,2019,1865
5,2019,7144
6,2019,23540
7,2019,49686
8,2019,86358
9,2019,64944
10,2019,42356
11,2019,42223
12,2019,47871
13,2019,48457
14,2019,51410
15,2019,56908
16,2019,68855
17,2019,100993
18,2019,95326
19,2019,61614
20,2019,38411
21,2019,24624
22,2019,19502
23,2019,13828
0,2020,5367
1,2020,2912
2,2020,1857
3,2020,1264
4,2020,1159
5,2020,3483
6,2020,13440
7,2020,23269
8,2020,29035
9,2020,30587
10,2020,35199
11,2020,45987
12,2020,58331
13,2020,69557
14,2020,77624
15,2020,83290
16,2020,87997
17,2020,92219
18,2020,86929
19,2020,66868
20,2020,38125
21,2020,19523
22,2020,12550
23,2020,8611
